date,temperature_max,temperature_min,precipitation,windspeed_max
2023-07-26,23.2,12.1,0.2,17.4
2023-07-27,22.8,17.6,17.1,28.2
2023-07-28,24.1,17.9,7.9,17.3
2023-07-29,23.1,16.9,5.9,19.4
2023-07-30,22.6,14.5,0.1,22.3
2023-07-31,22.5,16.8,8.0,31.1
2023-08-01,21.7,15.7,2.4,30.1
2023-08-02,23.1,16.9,23.4,44.3
2023-08-03,18.7,16.0,5.5,32.2
2023-08-04,21.0,14.3,3.4,15.1
2023-08-05,19.2,12.7,6.4,30.7
2023-08-06,19.2,13.3,1.6,30.2
2023-08-07,21.4,12.2,0.3,16.1
2023-08-08,22.9,14.3,0.6,16.7
2023-08-09,23.1,16.3,0.0,15.4
2023-08-10,25.9,13.9,0.0,12.8
2023-08-11,27.3,17.3,3.3,14.9
2023-08-12,25.5,19.3,4.5,19.7
2023-08-13,23.1,16.0,0.0,16.4
2023-08-14,26.8,15.6,2.1,18.9
2023-08-15,23.9,16.5,0.7,11.9
2023-08-16,25.9,15.9,0.1,12.1
2023-08-17,27.5,17.0,0.8,13.4
2023-08-18,31.1,17.8,0.3,12.0
2023-08-19,26.8,20.0,7.0,14.5
2023-08-20,29.4,17.2,0.4,15.0
2023-08-21,27.3,16.5,0.0,11.7
2023-08-22,29.3,16.3,0.0,12.4
2023-08-23,30.7,17.6,0.0,12.4
2023-08-24,26.2,19.8,18.1,20.5
2023-08-25,22.8,17.6,23.2,17.9
2023-08-26,21.4,14.1,0.8,21.7
2023-08-27,21.1,12.5,1.1,19.9
2023-08-28,20.7,13.4,1.7,12.0
2023-08-29,20.6,11.3,1.0,12.2
2023-08-30,20.0,12.9,2.6,20.5
2023-08-31,19.0,12.6,16.2,21.7
2023-09-01,23.4,16.7,3.2,21.6
2023-09-02,27.8,15.5,1.6,15.5
2023-09-03,29.7,17.4,0.0,15.4
2023-09-04,29.2,17.0,0.0,18.7
2023-09-05,32.1,17.8,0.0,10.5
2023-09-06,32.0,17.3,0.0,11.0
2023-09-07,30.8,14.9,0.0,10.5
2023-09-08,34.0,18.8,0.0,9.7
2023-09-09,34.0,19.2,0.0,12.3
2023-09-10,33.8,20.1,0.0,12.1
2023-09-11,26.8,19.0,0.9,13.4
2023-09-12,20.6,16.9,20.8,9.7
2023-09-13,21.7,16.4,1.2,10.2
2023-09-14,23.5,13.6,0.1,8.0
2023-09-15,26.2,12.8,0.0,9.6
2023-09-16,24.4,13.3,0.0,10.0
2023-09-17,24.5,17.1,6.2,16.8
2023-09-18,23.4,16.5,10.1,22.8
2023-09-19,21.3,13.1,0.0,26.6
2023-09-20,23.8,16.4,0.0,30.2
2023-09-21,20.8,14.1,18.1,24.8
2023-09-22,16.7,11.3,8.3,27.4
2023-09-23,17.3,10.5,0.2,13.4
2023-09-24,20.0,8.0,0.0,15.4
2023-09-25,22.9,9.3,0.0,9.8
2023-09-26,23.9,12.9,0.0,8.9
2023-09-27,25.2,12.2,0.0,17.4
2023-09-28,21.8,15.7,0.0,17.2
2023-09-29,21.5,13.6,0.1,25.6
2023-09-30,22.0,10.0,0.0,8.8
2023-10-01,25.7,12.3,0.0,11.8
2023-10-02,27.2,13.2,0.0,17.4
2023-10-03,22.0,12.6,6.6,25.6
2023-10-04,19.0,9.4,0.0,9.8
2023-10-05,19.2,9.2,0.0,7.8
2023-10-06,21.5,8.4,0.0,8.5
2023-10-07,23.9,9.9,0.0,8.8
2023-10-08,25.7,10.6,0.0,11.4
2023-10-09,24.6,11.0,0.0,10.0
2023-10-10,27.3,10.0,0.0,12.4
2023-10-11,24.8,12.3,0.0,18.0
2023-10-12,22.3,16.5,5.0,20.8
2023-10-13,25.2,17.3,0.0,31.6
2023-10-14,18.8,10.9,1.1,31.9
2023-10-15,13.5,7.6,0.1,11.9
2023-10-16,13.4,4.3,0.0,21.1
2023-10-17,16.3,4.8,0.0,13.8
2023-10-18,19.2,12.0,7.8,27.4
2023-10-19,21.2,14.7,5.8,26.6
2023-10-20,17.9,12.4,12.4,17.5
2023-10-21,15.3,11.0,7.0,41.4
2023-10-22,16.3,9.4,2.7,26.7
2023-10-23,12.0,8.0,5.7,16.2
2023-10-24,16.1,10.9,2.1,17.6
2023-10-25,15.0,11.5,12.6,27.3
2023-10-26,15.9,11.1,15.0,19.1
2023-10-27,15.2,9.9,5.4,25.7
2023-10-28,15.1,10.2,8.6,34.3
2023-10-29,16.2,11.8,2.5,36.8
2023-10-30,13.1,9.7,8.6,17.3
2023-10-31,15.0,8.2,0.3,22.2
2023-11-01,13.8,11.3,2.2,27.0
2023-11-02,14.0,9.4,3.5,47.3
2023-11-03,10.8,5.8,0.3,24.0
2023-11-04,14.2,7.6,12.3,34.7
2023-11-05,13.6,10.1,1.8,34.6
2023-11-06,13.2,7.9,1.1,28.6
2023-11-07,12.4,6.6,0.9,23.2
2023-11-08,12.5,6.5,4.0,32.1
2023-11-09,12.3,8.6,9.3,28.7
2023-11-10,11.6,6.6,0.4,35.3
2023-11-11,11.9,5.5,0.5,18.0
2023-11-12,13.7,6.2,10.0,22.3
2023-11-13,17.2,11.9,8.3,31.7
2023-11-14,13.7,10.5,2.0,29.4
2023-11-15,12.7,8.6,1.4,24.8
2023-11-16,10.8,7.4,15.2,26.6
2023-11-17,11.5,6.0,1.4,19.1
2023-11-18,14.4,8.4,13.7,24.7
2023-11-19,15.3,11.8,1.6,26.3
2023-11-20,12.7,9.8,7.8,33.8
2023-11-21,12.2,8.3,0.6,18.8
2023-11-22,9.4,4.4,0.0,16.7
